COL TID VAL 0COL TID_l VAL 15054 COL title_l VAL Sweet Lady Genevieve COL artist_l VAL The Kinks	COL TID_r VAL 15054 COL title_r VAL Sweet Lady Genevieve COL artist_r VAL The Kinks 	 1
COL TID VAL 103COL TID_l VAL 9016 COL title_l VAL How Can You Mend a Broken Heart - Greatest Hits COL artist_l VAL Al Green	COL TID_r VAL 11681 COL title_r VAL Here I Am (Come and Take Me) - The Definitive Greatest Hits COL artist_r VAL Al Green 	 0
COL TID VAL 104COL TID_l VAL 9016 COL title_l VAL How Can You Mend a Broken Heart - Greatest Hits COL artist_l VAL Al Green	COL TID_r VAL 17990 COL title_r VAL 012-Take Me to the River COL artist_r VAL Al Green 	 0
COL TID VAL 105COL TID_l VAL 9016 COL title_l VAL How Can You Mend a Broken Heart - Greatest Hits COL artist_l VAL Al Green	COL TID_r VAL 3663 COL title_r VAL 005-How Can You Mend a Broken Heart COL artist_r VAL Al Green 	 1
COL TID VAL 106COL TID_l VAL 15093 COL title_l VAL Up With the Sun COL artist_l VAL Steve Glotzer	COL TID_r VAL 15093 COL title_r VAL Up With the Sun COL artist_r VAL Steve Glotzer 	 1
COL TID VAL 107COL TID_l VAL 2713 COL title_l VAL Infected COL artist_l VAL Facebreaker	COL TID_r VAL 2713 COL title_r VAL Infected COL artist_r VAL Facebreaker 	 1
COL TID VAL 108COL TID_l VAL 3610 COL title_l VAL Agony in the Garden / Judas' Kiss - King of Kings COL artist_l VAL Miklós Rózsa	COL TID_r VAL 9765 COL title_r VAL Sarah Appears (Alternate) COL artist_r VAL Miklós Rózsa 	 0
COL TID VAL 109COL TID_l VAL 10347 COL title_l VAL Ira (X-Cultura) COL artist_l VAL Blood	COL TID_r VAL 10869 COL title_r VAL 007-Ira COL artist_r VAL Blood 	 1
COL TID VAL 110COL TID_l VAL 7178 COL title_l VAL 001-Nachklang: Wer war froh, da es Dich gab COL artist_l VAL Hildegard Knef	COL TID_r VAL 12334 COL title_r VAL Träume heißen Du - A Woman and a Half COL artist_r VAL Hildegard Knef 	 0
COL TID VAL 111COL TID_l VAL 12382 COL title_l VAL nan COL artist_l VAL Cool Hipnoise	COL TID_r VAL 8053 COL title_r VAL Ponto em Retorno - Groove Junkies 1995-2005 COL artist_r VAL Cool Hipnoise 	 1
COL TID VAL 112COL TID_l VAL 16815 COL title_l VAL Groove 5 - Xtreme Sports COL artist_l VAL Michael Bartel	COL TID_r VAL 16815 COL title_r VAL Groove 5 - Xtreme Sports COL artist_r VAL Michael Bartel 	 1
COL TID VAL 113COL TID_l VAL 5576 COL title_l VAL 003- COL artist_l VAL  	COL TID_r VAL 7471 COL title_r VAL 004-  COL artist_r VAL   	 0
COL TID VAL 114COL TID_l VAL 5576 COL title_l VAL 003- COL artist_l VAL  	COL TID_r VAL 5372 COL title_r VAL 005-     COL artist_r VAL   	 0
COL TID VAL 115COL TID_l VAL 5576 COL title_l VAL 003- COL artist_l VAL  	COL TID_r VAL 9817 COL title_r VAL 009-   COL artist_r VAL   	 0
COL TID VAL 116COL TID_l VAL 2663 COL title_l VAL 003-Luau COL artist_l VAL Stan Getz	COL TID_r VAL 5937 COL title_r VAL Luau - Stan Getz and the Lighthouse All-Stars: Live (disc 2) COL artist_r VAL Stan Getz 	 1
COL TID VAL 117COL TID_l VAL 13963 COL title_l VAL 004-Dentist - saliva pump COL artist_l VAL Sound Ideas	COL TID_r VAL 11520 COL title_r VAL 002-Store, small - Small crowd, cash area COL artist_r VAL Sound Ideas 	 0
COL TID VAL 118COL TID_l VAL 14662 COL title_l VAL Mam Tor (The Raygun Administration:2) COL artist_l VAL Vandal	COL TID_r VAL 2228 COL title_r VAL Mam Tor COL artist_r VAL Vandal 	 1
COL TID VAL 119COL TID_l VAL 11793 COL title_l VAL 001-I Put a Spell on You COL artist_l VAL Bryan Ferry	COL TID_r VAL 11793 COL title_r VAL 001-I Put a Spell on You COL artist_r VAL Bryan Ferry 	 1
COL TID VAL 120COL TID_l VAL 9274 COL title_l VAL 009-Maybe COL artist_l VAL KateHurleey	COL TID_r VAL 9274 COL title_r VAL 009-Maybe COL artist_r VAL KateHurleey 	 1
COL TID VAL 121COL TID_l VAL 9490 COL title_l VAL Do Shuffle - Rhapsodies in Black, Music and Words From the Harlem Renaissance COL artist_l VAL Fess Williams and His Royal Flush Orchestra	COL TID_r VAL 9490 COL title_r VAL Do Shuffle - Rhapsodies in Black, Music and Words From the Harlem Renaissance COL artist_r VAL Fess Williams and His Royal Flush Orchestra 	 1
COL TID VAL 122COL TID_l VAL 12718 COL title_l VAL Feel the Silence - Let Love In: Live and Intimate COL artist_l VAL Goo Goo Dolls	COL TID_r VAL 15596 COL title_r VAL Feel the Silence (Let Love In: Live and Intimate) COL artist_r VAL Goo Goo Dolls 	 1
COL TID VAL 123COL TID_l VAL 10616 COL title_l VAL 特別な涙 - 夢の渚　〜The Silent Service〜 COL artist_l VAL 笠原弘子	COL TID_r VAL 15192 COL title_r VAL 特別な涙 (夢の渚　〜The Silent Service〜) COL artist_r VAL 笠原弘子 	 1
COL TID VAL 124COL TID_l VAL 18410 COL title_l VAL 428-Tennessee Jed COL artist_l VAL Grateful Dead	COL TID_r VAL 14107 COL title_r VAL Good Lovin' (with drum solo) COL artist_r VAL Grateful Dead 	 0
COL TID VAL 125COL TID_l VAL 18410 COL title_l VAL 428-Tennessee Jed COL artist_l VAL Grateful Dead	COL TID_r VAL 1000 COL title_r VAL Ship of Fools COL artist_r VAL Grateful Dead 	 0
COL TID VAL 126COL TID_l VAL 8226 COL title_l VAL Partita 1 in B-flat major, BWV 825: II. Allemande COL artist_l VAL Johann Sebastian Bach	COL TID_r VAL 9512 COL title_r VAL Johannes-Passion, BWV 245: "Und die Kriegsknechten flochten eine Krone" COL artist_r VAL Johann Sebastian Bach 	 0
COL TID VAL 127COL TID_l VAL 8226 COL title_l VAL Partita 1 in B-flat major, BWV 825: II. Allemande COL artist_l VAL Johann Sebastian Bach	COL TID_r VAL 10977 COL title_r VAL Goldberg Variationen, BWV 988, Aria mit 30 Veranderungen 32 COL artist_r VAL Johann Sebastian Bach 	 0
COL TID VAL 128COL TID_l VAL 1148 COL title_l VAL Concerto grosso in F major, op.3/7, RV 567: II. Adagio - Karajan Conducts Vivaldi & Bach COL artist_l VAL Antonio Vivaldi	COL TID_r VAL 12766 COL title_r VAL 022-Concierto en Re menor para 2 Violines, Violoncello, Cuerdas y Continuo, Op. 3 N 11, RV 565: III. Allegro COL artist_r VAL Antonio Vivaldi 	 0
COL TID VAL 129COL TID_l VAL 12742 COL title_l VAL Waterfront - Sparkle in the Rain COL artist_l VAL Simple Minds	COL TID_r VAL 14286 COL title_r VAL 004-Waterfront COL artist_r VAL Simple Minds 	 1
